Mode_1,Mode_2,Mode_3,Events,Sensor1_new,Sensor_3_new,Sensor4_new,Sensor7_new,Sensor_9_new,Temperature,Humidity,Wind level > 0,Wind level > 1,Wind level > 2,M1,M2,M3
0.0,1.0,0.0,P,-1.0083620387643746,1.431407151542908,1.0363957445887824,1.35676071249849,0.9495356076771317,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,N,-2.5264792477828584,1.3392574778743265,0.6740068243282125,1.0439720161093302,0.0335044086709574,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,N,-0.9205925087151532,-0.22514281515120596,-0.503194288639045,0.33780979262302885,0.36536128567350235,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,N,-0.1425160297856603,-1.2350989108978045,-1.2814298064444978,-0.5128884948083563,0.9370443145290525,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,N,1.0819309842685223,-0.5270129106114082,-0.242260386409356,-1.719536016783088,-1.5164280520564977,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,P,2.663431419158014,-0.9011883866893079,1.4935704924025714,1.1380141604147307,0.3435546319039388,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,L,1.3165011834123483,-1.6934946053223077,-1.3067927187409265,-2.263780661041193,-0.1709100196401712,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,P,0.5986374145008039,1.175601073764362,1.3139675308754974,-1.2913062060760452,0.8318030453869011,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,P,0.6205939775579794,2.3022643525418762,2.2527922480986136,0.9199388408991638,-0.0359351633701512,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,1.0,0.0,L,0.617282926155758,1.3350104686855027,1.4312471375932327,-0.7512844572628222,0.5670034116788073,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,P,0.21389679728138516,1.5873327793156433,1.5832716096539114,-0.5197830662862974,1.0370596344970073,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,P,0.19908186704071174,-0.7368631622346463,-0.766063592415839,0.033369373788622037,0.599923553181186,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,P,-0.29433562406466046,0.9008162351457161,0.7502536162031419,0.13951831933808856,0.45314934128440876,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,N,0.16197681346352882,-1.0021841929758337,-1.0577252928666987,0.2987254065455022,0.5022237960587083,1.4349291135946538,1.5820104768498988,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,N,-1.0845179142148553,-0.9011883866893079,-0.5179967135555181,0.11255824903567427,-0.4165569441506148,1.4349291135946538,1.6668174757753709,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,L,-0.47229031528924437,0.5908337423280751,0.5679777567749966,-1.8084350427151388,0.07866850600567962,1.4349291135946538,1.6668174757753709,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
1.0,0.0,0.0,P,0.22592528573005874,1.1424728283966052,1.0366975369681175,0.8056399580248971,-0.48412707095867746,1.4349291135946538,1.6668174757753709,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
0.0,0.0,1.0,P,0.5456676470627085,0.7805229947960293,0.7594966043866147,0.5776125979496157,-0.8557324202661224,1.4349291135946538,1.6668174757753709,1,0,0,-1.451275847899381,2.1844562563784877,-0.26525087867188535
